"kieskring","partij","nummer","naam kandidaat","voorletters","voornaam","gender","woonplaats"
"Groningen","VVD","1","Rutte","M.","Mark","m","'s-Gravenhage"
"Groningen","VVD","2","Hennis-Plasschaert","J.A.","Jeanine","v","Nederhorst den Berg"
"Groningen","VVD","3","Zijlstra","H.","Halbe","m","Wassenaar"
"Groningen","VVD","4","van Ark","T.","Tamara","v","Nieuwerkerk aan den IJssel"
"Groningen","VVD","5","Dijkhoff","K.H.D.M.","Klaas","m","Breda"
"Groningen","VVD","6","Dekker","S.","Sander","m","'s-Gravenhage"
"Groningen","VVD","7","Visser","B.","Barbara","v","Zaanstad"
"Groningen","VVD","8","Harbers","M.G.J.","Mark","m","Rotterdam"
"Groningen","VVD","9","ten Broeke","J.H.","Han","m","Hof van Twente"
"Groningen","VVD","10","Azmani","M.","Malik","m","Dalfsen"
"Groningen","VVD","11","Wiersma","A.D.","Dennis","m","Utrecht"
"Groningen","VVD","12","Lodders","W.J.H.","Helma","v","Zeewolde"
"Groningen","VVD","13","van 't Wout","B.","Bas","m","Hoeven"
"Groningen","VVD","14","Becker","B.","Bente","v","'s-Gravenhage"
"Groningen","VVD","15","Duisenberg","P.J.","Pieter","m","'s-Gravenhage"
"Groningen","VVD","16","Hermans","S.T.M.","Sophie","v","Amsterdam"
"Groningen","VVD","17","Mulder","A.","Anne","m","'s-Gravenhage"
"Groningen","VVD","18","de Vries","A.","Aukje","v","Leeuwarden"
"Groningen","VVD","19","Yeşilgöz-Zegerius","D.","Dilan","v","Amsterdam"
"Groningen","VVD","20","Rutte","A.C.L.","Arno","m","Groningen"
"Groningen","VVD","21","Tellegen","O.C.","Ockje","v","'s-Gravenhage"
"Groningen","VVD","22","Koerhuis","D.A.N.","Daniel","m","Tervuren (BE)"
"Groningen","VVD","23","Ziengs","E.","Erik","m","Assen"
"Groningen","VVD","24","Bosman","A.","André","m","Middelburg"
"Groningen","VVD","25","van den Bosch","A.","Albert","m","Zaltbommel"
"Groningen","VVD","26","El Yassini","Z.","Zohair","m","Utrecht"
"Groningen","VVD","27","Dijkstra","R.J.","Remco","m","Lienden"
"Groningen","VVD","28","Wörsdörfer","M.","Martin","m","'s-Gravenhage"
"Groningen","VVD","29","Weverling","A.","Arne","m","Naaldwijk"
"Groningen","VVD","30","Nijkerken-de Haan","C.N.A.","Chantal","v","Schinveld"
"Groningen","VVD","31","Potters","S.C.C.M.","Sjoerd","m","Waalwijk"
"Groningen","VVD","32","van Oosten","F.","Foort","m","Schiedam"
"Groningen","VVD","33","Koopmans","S.M.G.","Sven","m","Hoofddorp"
"Groningen","VVD","34","Middendorp","J.","Jan","m","Amsterdam"
"Groningen","VVD","35","van der Linde","R.E.","Roald","m","Rotterdam"
